SP: Spontaneous Potential,SP,AHSC,AHSF,CPSP,DFSP,EDSP,ELSP,HSP,IASP,IDSP,IXSP,PCH1,RXSP,SP_S,SPA_,SPAR,SPBR,SPC,SPCG,SPD,SPDF,SPDH,SPH,SPLL,SPOT,SPP,SPS,SPSB,SSPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN: Long Normal,LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN: Short Normal,ASN,ELN16,RSN,SN,SN16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUDR: Mud Resistivity,AHMF,AIMR,HDRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXO: Micro Spherical Focussed,RXO,RXO8,RXOI,RXOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR: Focussed Resistivity,ASFL,CSFL,FR,LL8,RFOC,RSFL,SFL,SFLA,SFLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT: True Formation Resistivity,RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA: Apparent Water Resistivity,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENS: Density,RHOB,2RHB,CODE,DEN,DENB,HDEN,HNDP,HRHO,HRHOB,HROM,LRHO,NRHB,NRHO,RHL,RHO8,RHOB_SLDT,RHOI,RHOM,RHOS,RHOZ,RHS3,RHS4,ZDEN,ZDEN2,ZDEN2QH,ZDENQH,ZDENS,ZDNC,ZDNCQH,ZDNCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCOR: Density Correction,DEN(CDL),DCOR,2DRH,DC,DECR,DRH,DRHO,HBDC,HDRA,HDRH,HHDR,HHDRA,RPCL_DCOR,ZCOR,Z-COR,ZCOR2,ZCOR2QH,ZCORQH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE: Photoelectric Effect,PE,2PEF,HPEDN,HPEF,HPEF,HPEF8,LPE,PDPE,PE2,PE2QH,PEDF,PEDN,PEF,PEF_,PEF_SLDT,PEF_SLDT_HR,PEF8,PEFA,PEFI,PEFL,PEFS,PEFSA,PEFZ,PEQH,SPEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPHI: Neutron Porosity,POR(NEU),NPHI,APDC,APDU,APLC,APLU,CN,CNC,CNCC,CNCD,CNCDL,CNCDLQH   ,CNCF,CNCFDLQH,CNCL,CNCLS,CNCLSQH,CNCQH,CNCS,CNCSGS,CNCSS,CNCSSQH,CNSS,ENPH,FNPS,FPLC,FPMC,FPSC,HADC,HALC,HASC,HHNP,HHNPO,HNPDL,HNPH,HNPHI,HNPLS,HNPO,HNPO_DOL,HNPO_LIM,HNPO_SAN,HNPS,HNPSS,HTNP,HTNP_DOL,HTNP_LIM,HTNP_SAN,NCN,NCNL,NPDL,NPHI_DOL,NPHI_LIM,NPHI_S,NPHI_SAN,NPHID,NPHIL,NPHIS,NPHL,NPHS,NPLS,NPOR,NPOR_,NPOR_1,NPOR_DOL,NPOR_LIM,NPOR_SAN,NPORDL,NPORLS,NPORSS,NPRD,NPRL,NPRS,NPSS,NPSS_C,POL,POS,PRON,QNP-1A,QNP-5A,RPOR,SNP,TNPH,TNPH_DOL,TNPH_LIM,TNPH_SAN,TNPH_SAN1,TPHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPHI-SS: Neutron Porosity Sandstone,NPSS,CNC_S,CNC-SD,CNCSS,CNCSSQH,CNS,HNPO_S,HNPO_SAN,NPHI_S,NPOR_S,NPOR_SAN,NPORSS,NPRS,PORS,POS,SNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
